GEOID,NAMELSAD,population,tract_area_sq_mi,light_duty_vehicles_population_weighted,ev_vehicles_population_weighted,evse_per_1000_light_duty_vehicles_population_weighted,is_benchmark_20to100,is_above_standard_gt100,is_below_standard_lt20,application_group,predicted_target_evse_count,current_total_evse,planning_gap_evse_non_benchmark_only,planning_gap_bin,gap_map_class,benchmark_map_class
06111003902,Census Tract 39.02,4156,0.42,3196.64,58.25,0.0,False,False,True,below_standard_gap_application,87.0,0.0,87.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06111001509,Census Tract 15.09,4641,0.51,3848.09,189.5,0.0,False,False,True,below_standard_gap_application,109.0,0.0,109.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06111009600,Census Tract 96,3421,9.81,2836.52,139.68,0.0,False,False,True,below_standard_gap_application,78.0,0.0,78.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06073002902,Census Tract 29.02,6007,0.61,3325.1,164.13,0.0,False,False,True,below_standard_gap_application,93.0,0.0,93.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06073002903,Census Tract 29.03,4517,0.54,2500.33,123.42,0.0,False,False,True,below_standard_gap_application,70.0,0.0,70.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06013341000,Census Tract 3410,4872,1.56,4114.37,503.21,1.46,False,False,True,below_standard_gap_application,123.0,6.0,117.0,101-250,Gap 101-250 EVSE,"1-5 EVSE / 1,000 vehicles"
06013385100,Census Tract 3851,2735,0.92,1834.08,209.45,1.09,False,False,True,below_standard_gap_application,56.0,2.0,54.0,51-100,Gap 51-100 EVSE,"1-5 EVSE / 1,000 vehicles"
06013392000,Census Tract 3920,2474,0.41,1622.92,315.56,0.0,False,False,True,below_standard_gap_application,53.0,0.0,53.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06013351200,Census Tract 3512,5531,3.5,4186.67,640.88,0.0,False,False,True,below_standard_gap_application,129.0,0.0,129.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06071000115,Census Tract 1.15,8358,4.77,6557.96,933.84,1.52,False,False,True,below_standard_gap_application,291.0,10.0,281.0,251-500,Gap 251-500 EVSE,"1-5 EVSE / 1,000 vehicles"
06071002031,Census Tract 20.31,6734,0.79,5364.96,318.11,0.0,False,False,True,below_standard_gap_application,182.0,0.0,182.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06029000800,Census Tract 8,5617,0.9,2747.26,25.41,0.0,False,False,True,below_standard_gap_application,75.0,0.0,75.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06029000903,Census Tract 9.03,4385,0.64,2906.32,56.49,0.0,False,False,True,below_standard_gap_application,79.0,0.0,79.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
