zip_code,ev_vehicles,zev_vehicles,light_duty_vehicles,ev_share_light_duty,zcta_area_sq_mi,zcta_population
94955,6,6,422,0.014218009478672985,,
93543,149,151,11074,0.013454939497923063,67.95945806576623,12275.0
91008,145,145,999,0.14514514514514515,1.9266984974516783,743.0
90826,0,0,0,,,
92096,0,0,22,0.0,0.3265460064375993,0.0
92164,0,0,2,0.0,,
92611,0,0,1,0.0,,
93657,488,490,27794,0.017557746276174714,233.1547922438028,36205.0
93812,0,0,1,0.0,,
91064,0,0,0,,,
93019,0,0,1,0.0,,
94594,0,0,3,0.0,,
90693,0,0,0,,,
95712,8,8,448,0.017857142857142856,,
90040,300,301,10106,0.02968533544429052,5.569460610934466,11430.0
95919,7,7,978,0.007157464212678937,26.787515507723047,1172.0
92031,0,0,1,0.0,,
95446,215,216,4874,0.04411161263848995,31.2156119156533,4607.0
92751,0,0,2,0.0,,
92155,6,6,95,0.06315789473684211,0.9240286683027716,101.0
99703,0,0,6,0.0,10.032454084547503,8304.0
90041,1571,1587,17583,0.089347665358585,3.6057045980302314,27920.0
95776,1069,1076,23202,0.04607361434359107,89.37662940874607,28718.0
98188,2,2,18,0.1111111111111111,8.377783064143728,27311.0
95901,392,393,24437,0.016041248925809225,201.81327723383407,37732.0
92864,0,0,6,0.0,,
94384,0,0,0,,,
92084,1619,1629,38765,0.041764478266477494,28.360690009685342,49727.0
93620,81,81,7764,0.010432766615146832,161.56818344551925,9927.0
90401,1493,1506,5877,0.25404117747149907,0.7545178487837146,8101.0
93910,0,0,1,0.0,,
93000,0,0,6,0.0,,
92640,0,0,48,0.0,,
92852,0,0,1,0.0,,
91501,1539,1559,14383,0.10700132100396301,2.735287384179862,19016.0
94262,0,0,1,0.0,,
99515,1,1,14,0.07142857142857142,10.6593198477249,21870.0
95728,28,28,449,0.062360801781737196,28.60183730666761,516.0
92319,0,0,2,0.0,,
90904,0,0,1,0.0,,
96601,0,0,0,,,
91737,1615,1618,19432,0.08311033347056401,10.090060892022569,22958.0
91214,2740,2771,24200,0.11322314049586776,7.300609102406191,30817.0
95765,2774,2789,33024,0.08399951550387597,12.533419571421778,43871.0
93827,0,0,0,,,
95674,10,10,738,0.013550135501355014,31.862047508087635,998.0
94101,0,0,2,0.0,,
92054,1316,1319,27798,0.04734153536225628,8.369918671784115,38417.0
95070,5832,5874,27265,0.21390060517146525,28.34857160548791,31417.0
94302,18,18,266,0.06766917293233082,,
92172,20,20,336,0.05952380952380952,,
98858,0,0,1,0.0,368.698191733094,1783.0
98198,2,2,42,0.047619047619047616,8.651687132418095,40463.0
95109,8,8,250,0.032,,
92698,0,0,1,0.0,,
98267,0,0,1,0.0,336.2602415043042,314.0
94683,0,0,1,0.0,,
96812,0,0,2,0.0,,
91419,0,0,1,0.0,,
91938,0,0,1,0.0,,
90704,37,37,1793,0.02063580591187953,295.3906278423466,3421.0
98556,0,0,1,0.0,0.11939372551743059,350.0
94666,0,0,3,0.0,,
95961,717,719,23552,0.03044327445652174,46.540068651970714,33999.0
90048,2037,2052,13855,0.1470227354745579,1.8934330951974547,21476.0
90769,0,0,0,,,
95407,930,931,33958,0.027386771894693445,21.610922473753416,42036.0
95383,79,80,4806,0.01643778610070745,66.46339282467251,3782.0
93653,19,19,871,0.021814006888633754,217.56756135188888,1260.0
98424,0,0,10,0.0,6.426749524087841,11816.0
92722,0,0,1,0.0,,
98951,0,0,1,0.0,149.23136919215995,12581.0
91696,0,0,1,0.0,,
93542,0,0,14,0.0,,
90310,1,1,15,0.06666666666666667,,
95067,12,12,485,0.024742268041237112,,
91660,0,0,1,0.0,,
95831,1840,1845,30136,0.06105654366870188,7.529861917658228,43545.0
95648,2824,2830,47717,0.059182262086887275,145.2524974334765,57459.0
97479,0,0,4,0.0,68.04011701480825,10447.0
92700,0,0,51,0.0,,
91002,0,0,1,0.0,,
95421,59,59,1570,0.0375796178343949,143.459411248542,1570.0
99587,0,0,3,0.0,359.504413785726,1949.0
90307,0,0,31,0.0,,
92373,1784,1786,25716,0.06937315290091772,40.07369578992137,35257.0
93613,18,18,1331,0.013523666416228399,,
95042,3,3,38,0.07894736842105263,,
92454,0,0,1,0.0,,
94103,1445,1448,11896,0.1214694014794889,1.3738706583706726,34964.0
90210,3332,3349,16255,0.20498308212857583,10.802152186504665,19004.0
93287,3,3,146,0.02054794520547945,71.80763811322703,98.0
97525,0,0,10,0.0,108.82569165524781,5129.0
94382,0,0,1,0.0,,
95376,1545,1548,40317,0.03832130366842771,7.616576629795702,54488.0
99324,0,0,16,0.0,2.7709762292682174,10137.0
94020,105,105,1342,0.07824143070044709,41.99232222897635,1694.0
97355,0,0,18,0.0,215.8497078773879,34292.0
90015,1273,1278,12806,0.09940652818991098,1.6932582779556038,24704.0
96070,0,0,0,,,
90962,0,0,0,,,
97828,0,0,1,0.0,691.3138120844526,3522.0
94376,0,0,1,0.0,,
96142,17,17,829,0.020506634499396863,41.48496159167779,725.0
91508,0,0,27,0.0,,
92025,1661,1669,39356,0.04220449232645594,22.756098358353288,49989.0
92511,0,0,1,0.0,,
94116,2773,2785,25749,0.1076935026602975,2.5636052358391286,43791.0
98370,2,2,44,0.045454545454545456,65.986984687673,33655.0
93023,1151,1151,16756,0.06869181188827883,267.1231711011012,21036.0
95948,83,83,9149,0.00907202973002514,75.82384857813798,11200.0
97733,0,0,0,,392.19746003386643,639.0
90884,0,0,0,,,
91161,0,0,1,0.0,,
90080,1,1,2,0.5,,
95495,0,0,1,0.0,,
90046,4086,4122,30310,0.13480699439129,5.6668298848123975,48296.0
91963,14,14,2393,0.0058503969912244045,41.246811645620575,689.0
97708,0,0,23,0.0,,
95669,62,62,3271,0.018954448180984407,75.78434720773609,2118.0
92228,0,0,1,0.0,,
98037,1,1,17,0.058823529411764705,5.781840414946483,29723.0
93351,1,1,4,0.25,,
92093,68,68,656,0.10365853658536585,0.8889982007894507,7167.0
90788,0,0,0,,,
95935,7,7,645,0.010852713178294573,25.904127594537655,934.0
95984,0,0,92,0.0,75.74421729678217,51.0
94701,3,3,102,0.029411764705882353,,
90864,0,0,0,,,
96047,11,11,668,0.016467065868263474,248.63829212770563,841.0
90750,0,0,3,0.0,,
95943,5,5,866,0.005773672055427252,65.71145288427188,621.0
98296,1,1,18,0.05555555555555555,35.414940017860864,27896.0
91731,849,865,19998,0.04245424542454245,3.859305503050999,27620.0
95803,0,0,1,0.0,,
95360,200,200,10436,0.019164430816404752,63.3954700962278,13779.0
95124,4950,4995,37351,0.13252657224706166,6.588424934175276,52096.0
97497,0,0,1,0.0,166.03974521576538,1174.0
96762,0,0,1,0.0,13.519181590126612,5710.0
90604,1099,1111,28443,0.038638680870512955,4.212596154032185,39276.0
96060,0,0,1,0.0,,
95291,0,0,1,0.0,,
96375,1,1,6,0.16666666666666666,,
95804,0,0,0,,,
95536,44,44,2643,0.01664774877033674,164.01233821049226,3050.0
91188,0,0,1,0.0,,
92281,5,5,1856,0.0026939655172413795,13.19532737611934,2082.0
95569,2,2,190,0.010526315789473684,55.285308975975035,99.0
93674,0,0,1,0.0,,
94559,1260,1262,22014,0.05723630417007359,42.275487840374964,27714.0
94914,6,6,140,0.04285714285714286,,
92035,0,0,5,0.0,,
98687,0,0,5,0.0,,
95458,28,28,2525,0.011089108910891089,49.075334331178446,3638.0
95491,0,0,1,0.0,,
92010,1539,1545,14985,0.10270270270270271,8.29853216626497,18489.0
95046,335,336,6454,0.05190579485590332,18.851170308965873,6324.0
95731,0,0,1,0.0,,
92118,1132,1135,12037,0.09404336628728088,13.142660693250267,18929.0
92127,6561,6581,36611,0.17920843462347383,23.19250507359743,50555.0
97827,0,0,1,0.0,207.1011522130482,2384.0
93239,6,6,898,0.0066815144766146995,58.177931871569236,1461.0
95755,1,1,1,1.0,,
97381,0,0,6,0.0,110.1606482717301,15405.0
98068,0,0,2,0.0,251.1755174047877,482.0
92995,1,1,1,1.0,,
94011,13,13,410,0.03170731707317073,,
92090,0,0,1,0.0,,
