zip_code,ev_vehicles,zev_vehicles,light_duty_vehicles,ev_share_light_duty
95228,152,152,5905,0.025740897544453852
94588,3453,3470,26415,0.13072118114707554
98433,2,2,79,0.02531645569620253
94975,15,15,508,0.02952755905511811
92533,1,1,3,0.3333333333333333
96764,1,1,3,0.3333333333333333
95095,0,0,1,0.0
99201,1,1,8,0.125
95840,0,0,2,0.0
96009,0,0,562,0.0
95344,8,8,671,0.011922503725782414
97820,0,0,1,0.0
96107,4,4,754,0.005305039787798408
95743,0,0,1,0.0
96097,48,48,8930,0.005375139977603583
94336,0,0,1,0.0
97459,1,1,20,0.05
92095,0,0,1,0.0
93300,0,0,3,0.0
90815,2103,2126,29326,0.07171110959558072
94043,6669,6694,26577,0.2509312563494751
94123,1615,1619,13114,0.12315083117279244
95807,0,0,1,0.0
91347,0,0,1,0.0
96768,0,0,27,0.0
91336,0,0,3,0.0
98245,0,0,15,0.0
91433,0,0,1,0.0
93223,55,55,7560,0.007275132275132275
92136,16,16,900,0.017777777777777778
93208,0,0,4,0.0
91979,4,4,445,0.008988764044943821
92665,0,0,6,0.0
90234,0,0,1,0.0
90714,5,6,429,0.011655011655011656
94450,1,1,1,1.0
96627,0,0,1,0.0
97008,1,1,43,0.023255813953488372
98569,0,0,8,0.0
95438,0,0,1,0.0
96423,0,0,0,
97034,3,3,43,0.06976744186046512
97439,0,0,29,0.0
92186,0,0,27,0.0
92241,138,138,6554,0.02105584375953616
93517,11,11,895,0.012290502793296089
93233,0,0,2,0.0
94938,38,38,563,0.0674955595026643
93430,152,153,2625,0.0579047619047619
96533,0,0,2,0.0
95020,3636,3647,53262,0.0682663061845218
95926,574,574,22469,0.025546308246917976
94595,1314,1317,13483,0.09745605577393755
98264,1,1,18,0.05555555555555555
92003,364,364,5134,0.07089988313206078
94611,4620,4633,26764,0.17261993722911373
99202,0,0,22,0.0
95857,0,0,1,0.0
98368,1,1,21,0.047619047619047616
98252,1,1,2,0.5
98464,0,0,1,0.0
97873,0,0,1,0.0
91436,2867,2874,12882,0.22255860891165968
90606,623,640,22993,0.02709520288783543
92022,11,11,547,0.02010968921389397
91755,1541,1564,20253,0.07608749321088233
92007,914,915,8927,0.10238601993950935
92349,0,0,1,0.0
95245,29,29,2198,0.013193812556869881
93553,48,48,1376,0.03488372093023256
98936,0,0,3,0.0
90892,0,0,1,0.0
92296,0,0,1,0.0
92332,1,1,42,0.023809523809523808
95733,0,0,0,
95680,3,3,111,0.02702702702702703
90711,0,0,93,0.0
97352,0,0,2,0.0
95300,0,0,3,0.0
92355,0,0,5,0.0
94589,615,619,22352,0.027514316392269148
94614,4,4,125,0.032
91330,8,8,120,0.06666666666666667
92674,10,10,556,0.017985611510791366
97539,0,0,2,0.0
95322,111,111,7887,0.01407379231647014
97231,0,0,3,0.0
91255,0,0,1,0.0
90670,712,718,16978,0.04193662386617976
90029,799,813,17743,0.04503184354393282
91359,22,23,633,0.03475513428120063
90302,705,717,17717,0.03979228989106508
97401,0,0,102,0.0
97089,0,0,3,0.0
93032,1,1,461,0.0021691973969631237
93649,3,3,93,0.03225806451612903
94274,0,0,1,0.0
93202,27,27,3057,0.008832188420019628
98111,0,0,3,0.0
90985,0,0,0,
95747,6085,6096,69091,0.08807225253650983
94652,0,0,1,0.0
93222,79,79,1636,0.04828850855745721
90778,0,0,0,
93437,92,92,1012,0.09090909090909091
95829,1916,1920,26720,0.0717065868263473
93280,160,160,16017,0.009989386277080603
95106,1,1,115,0.008695652173913044
90078,9,10,252,0.03571428571428571
92592,4634,4637,59278,0.07817402746381456
95626,150,151,5041,0.029756000793493356
92823,774,775,4405,0.1757094211123723
92055,13,13,1327,0.009796533534287867
95624,3072,3079,52786,0.05819724927063994
92675,2575,2596,30770,0.08368540786480339
95118,2557,2571,23922,0.10688905609898838
95714,4,4,289,0.01384083044982699
95016,0,0,2,0.0
95403,1885,1885,35836,0.05260073668936265
95660,472,479,23818,0.01981694516752036
95039,29,29,1475,0.01966101694915254
99710,0,0,0,
96797,0,0,49,0.0
94164,2,2,97,0.020618556701030927
94301,2536,2542,11431,0.22185285626804305
94623,8,8,436,0.01834862385321101
96301,0,0,1,0.0
95554,2,2,359,0.005571030640668524
95172,1,2,60,0.016666666666666666
92966,0,0,1,0.0
95312,0,0,236,0.0
94068,0,0,1,0.0
90951,0,0,0,
95925,2,2,213,0.009389671361502348
95108,1,1,61,0.01639344262295082
91920,0,0,4,0.0
95511,0,0,156,0.0
98122,7,7,73,0.0958904109589041
99353,0,0,2,0.0
91751,0,0,1,0.0
90931,0,0,0,
90908,0,0,1,0.0
92554,1,1,126,0.007936507936507936
96148,32,32,876,0.0365296803652968
98360,0,0,4,0.0
91108,1924,1932,10217,0.18831359498874425
92572,10,10,1142,0.008756567425569177
92266,0,0,288,0.0
93655,0,0,0,
95192,0,0,25,0.0
91632,0,0,1,0.0
92691,3224,3262,38891,0.0828983569463372
97901,0,0,1,0.0
98312,2,2,63,0.031746031746031744
94155,0,0,1,0.0
93242,18,18,2313,0.007782101167315175
95357,206,207,10374,0.019857335646809332
99623,0,0,4,0.0
92113,478,482,34410,0.013891310665504215
94039,10,10,280,0.03571428571428571
97109,0,0,1,0.0
97448,0,0,7,0.0
95763,23,23,812,0.02832512315270936
95964,0,0,2,0.0
91333,2,2,326,0.006134969325153374
97538,0,0,8,0.0
