GEOID,NAMELSAD,COUNTYFP,TRACTCE,tract_area_sq_mi,station_count,total_evse,stations_per_sq_mi,evse_per_sq_mi,population,ev_vehicles_area_weighted,zev_vehicles_area_weighted,light_duty_vehicles_area_weighted,ev_vehicles_population_weighted,zev_vehicles_population_weighted,light_duty_vehicles_population_weighted,evse_per_1000_light_duty_vehicles_area_weighted,ev_share_light_duty_area_weighted,evse_per_1000_light_duty_vehicles_population_weighted,ev_share_light_duty_population_weighted,is_benchmark_20to100,is_above_standard_gt100,is_below_standard_lt20,predicted_target_evse_count,current_total_evse,model_gap_evse_all_tracts,application_group,planning_gap_evse_non_benchmark_only,planning_gap_bin
06037601212,Census Tract 6012.12,37,601212,0.2258948407813212,0.0,0.0,0.0,0.0,5295,528.0341785786909,529.126663086095,5055.563098388497,856.5094302205395,858.2815186968578,8200.487098202892,0.0,0.1044461652050206,0.0,0.1044461652050206,False,False,True,476.0,0.0,476.0,below_standard_gap_application,476.0,251-500
06065040618,Census Tract 406.18,65,40618,7.191332309205686,3.0,19.0,0.4171688737231172,2.6420695335797424,10312,790.461795156645,796.5737595667257,14771.043779575468,446.520164327831,449.9726799160632,8343.781296259482,1.2863004323548268,0.0535142815194718,2.277145016794448,0.0535153245840715,False,False,True,490.0,19.0,471.0,below_standard_gap_application,471.0,251-500
06001437200,Census Tract 4372,1,437200,0.9863336313080292,8.0,16.0,8.1108458092327,16.2216916184654,8968,107.84071294667856,108.63500714968524,1721.0522392532812,520.302583375988,524.1348403640264,8303.616526082056,9.296638204858892,0.062659755751207,1.9268712554033816,0.062659755751207,False,False,True,483.0,16.0,467.0,below_standard_gap_application,467.0,251-500
06081601800,Census Tract 6018,81,601800,0.7133084596592734,0.0,0.0,0.0,0.0,6025,490.5667037691568,492.49806874462735,5406.70049358735,736.9266284997464,739.8279144387228,8121.916011490259,0.0,0.0907331013343528,0.0,0.0907331013343649,False,False,True,459.0,0.0,459.0,below_standard_gap_application,459.0,251-500
06037601002,Census Tract 6010.02,37,601002,0.2444976899452055,0.0,0.0,0.0,0.0,5222,571.5187492898773,572.701201874615,5471.897873589014,844.7010849124609,846.4487423295213,8087.4303355645325,0.0,0.1044461652050202,0.0,0.1044461652050196,False,False,True,458.0,0.0,458.0,below_standard_gap_application,458.0,251-500
06077005223,Census Tract 52.23,77,5223,9.834880011292626,0.0,0.0,0.0,0.0,11561,856.8576842802919,860.0702440745035,4201.426303873541,1337.3952277620654,1342.3283830933983,7757.086789113044,0.0,0.2039444755916115,0.0,0.1724094707357251,False,False,True,457.0,0.0,457.0,below_standard_gap_application,457.0,251-500
06019005805,Census Tract 58.05,19,5805,4.888723173439597,3.0,10.0,0.6136571643694169,2.04552388123139,10834,359.23015693335,359.4514940602343,12895.322349410892,229.22300001119507,229.36423414552112,8228.441899970538,0.7754749923298225,0.027857400319253,1.2152969081589804,0.0278574003192531,False,False,True,461.0,10.0,451.0,below_standard_gap_application,451.0,251-500
06107001012,Census Tract 10.12,107,1012,2.614300023170465,2.0,4.0,0.7650231351696661,1.5300462703393325,11302,40.048664780468414,40.079662199029144,1391.1021501686234,234.45864657532277,234.64011611601575,8143.990047219299,2.875417883233907,0.0287891617273497,0.4911597358061321,0.0287891617273497,False,False,True,451.0,4.0,447.0,below_standard_gap_application,447.0,251-500
06111000302,Census Tract 3.02,111,302,40.002605116639195,2.0,7.0,0.0499967438162694,0.1749886033569431,9118,245.4045337979621,245.50902994888227,6965.162495542931,273.5661761638341,273.597583063349,8192.091261486914,1.0050016786369824,0.0352331383445825,0.8544826682911559,0.0333939365946687,False,False,True,453.0,7.0,446.0,below_standard_gap_application,446.0,251-500
06099003002,Census Tract 30.02,99,3002,9.247154530726446,0.0,0.0,0.0,0.0,7191,223.60979795248312,223.84584444054803,11396.135007542289,159.89909751985084,160.04541979584363,8178.283119074995,0.0,0.0196215469371406,0.0,0.0195516705880361,False,False,True,439.0,0.0,439.0,below_standard_gap_application,439.0,251-500
06013355115,Census Tract 3551.15,13,355115,0.851620091356647,6.0,10.0,7.045395078035191,11.742325130058653,10460,456.8439580979047,459.19065064956686,2095.2793280192113,1656.5376737649876,1665.0468913034167,7597.5813675552035,4.7726333507301755,0.2180348710497639,1.3162083452905304,0.2180348710497639,False,False,True,448.0,10.0,438.0,below_standard_gap_application,438.0,251-500
06061023100,Census Tract 231,61,23100,1.7610558039773354,2.0,4.0,1.135682353439914,2.2713647068798277,8266,252.64376180014787,253.0940318212145,3029.6337682458643,682.367419643502,683.5927652742153,7952.513191093187,1.320291594952736,0.083390858805494,0.5029856479181951,0.0858052546719134,False,False,True,439.0,4.0,435.0,below_standard_gap_application,435.0,251-500
06013334200,Census Tract 3342,13,334200,2.620940503222,1.0,4.0,0.3815424267627099,1.5261697070508395,7522,575.819091280128,577.0674313508048,5181.831473550805,961.8842003050628,963.896170515476,7852.466801811234,0.771927844511515,0.1111226974901121,0.5093940669799926,0.1224945261892984,False,False,True,438.0,4.0,434.0,below_standard_gap_application,434.0,251-500
06073017065,Census Tract 170.65,73,17065,1.805680318978796,5.0,22.0,2.769039429320332,12.18377348900946,10415,510.8145297466503,512.371653751365,2850.393346830455,1388.1326085212336,1392.364075091943,7745.911131012176,7.718233002635685,0.1792084346234738,2.840208159879212,0.1792084346234738,False,False,True,455.0,22.0,433.0,below_standard_gap_application,433.0,251-500
06065043252,Census Tract 432.52,65,43252,1.7440644823346672,5.0,10.0,2.8668664780712816,5.733732956142563,10051,72.28530979590481,72.33210650056336,924.6716862498156,612.2032571924293,612.5995907641982,7831.28715577316,10.814649295207609,0.0781740274638145,1.2769292966901469,0.0781740274638145,False,False,True,424.0,10.0,414.0,below_standard_gap_application,414.0,251-500
06013303207,Census Tract 3032.07,13,303207,2.1519593351562007,1.0,1.0,0.4646927958457053,0.4646927958457053,9770,308.9244578554606,310.0975969033531,4758.950856977577,513.4959625360013,515.3435108192795,7761.970961311488,0.2101303480648049,0.0649144038548991,0.1288332570405592,0.06615535733069,False,False,True,409.0,1.0,408.0,below_standard_gap_application,408.0,251-500
06059021822,Census Tract 218.22,59,21822,4.415883059060593,0.0,0.0,0.0,0.0,9475,1723.5940525405142,1740.9388229981985,14112.86156240665,927.2137327249716,936.5444155128456,7592.065561738755,0.0,0.1221293105525646,0.0,0.1221293105525578,False,False,True,407.0,0.0,407.0,below_standard_gap_application,407.0,251-500
06065043297,Census Tract 432.97,65,43297,12.803933641494806,1.0,2.0,0.0781009983337631,0.1562019966675263,11415,1456.8901044699844,1457.873754160354,19727.197368192858,568.9988197410875,569.396054233774,7611.164435824936,0.1013828757664633,0.0738518542334351,0.2627718816041096,0.0747584452469415,False,False,True,397.0,2.0,395.0,below_standard_gap_application,395.0,251-500
06077005221,Census Tract 52.21,77,5221,1.1378161073391286,1.0,12.0,0.8788766423236684,10.54651970788402,9357,154.61456631179246,155.19691872727944,718.6644773120371,1573.0410306134236,1578.9658555874855,7311.6572197763635,16.69763899404439,0.2151415176245873,1.6412147943071975,0.2151415176245826,False,False,True,402.0,12.0,390.0,below_standard_gap_application,390.0,251-500
