GEOID,NAMELSAD,COUNTYFP,TRACTCE,tract_area_sq_mi,station_count,total_evse,stations_per_sq_mi,evse_per_sq_mi,population,ev_vehicles_area_weighted,zev_vehicles_area_weighted,light_duty_vehicles_area_weighted,ev_vehicles_population_weighted,zev_vehicles_population_weighted,light_duty_vehicles_population_weighted,evse_per_1000_light_duty_vehicles_area_weighted,ev_share_light_duty_area_weighted,evse_per_1000_light_duty_vehicles_population_weighted,ev_share_light_duty_population_weighted,is_benchmark_20to100,predicted_target_evse_count,current_total_evse,model_gap_evse_all_tracts,application_group,planning_gap_evse_non_benchmark_only,planning_gap_bin
06037601401,Census Tract 6014.01,37,601401,0.6073742146754562,0.0,0.0,0.0,0.0,6057,1419.7506389539958,1422.6880540690718,13593.133229593765,979.7691442658794,981.7962528402192,9380.61385343699,0.0,0.104446165205167,0.0,0.104446165205585,False,706.0,0.0,706.0,non_benchmark_application,706.0,501-1000
06061021323,Census Tract 213.23,61,21323,3.4243544127264087,0.0,0.0,0.0,0.0,11540,753.647283274246,757.7211744839294,8974.090797852488,779.3926102472927,783.5971172322174,9293.660308873348,0.0,0.0839803496811726,0.0,0.0838628252318571,False,695.0,0.0,695.0,non_benchmark_application,695.0,501-1000
06059032049,Census Tract 320.49,59,32049,4.027105366949178,0.0,0.0,0.0,0.0,10469,916.9284101693434,922.890912723928,8265.302830713656,1124.7327665072344,1131.4471395413714,9150.003253918276,0.0,0.1109370617083817,0.0,0.1229215701126219,False,688.0,0.0,688.0,non_benchmark_application,688.0,501-1000
06065041915,Census Tract 419.15,65,41915,19.550036580637183,0.0,0.0,0.0,0.0,9285,1079.8023186100252,1085.3547721699051,10324.617546611576,953.0698319487024,957.9661013226053,9097.917963950827,0.0,0.104585212356307,0.0,0.1047569164423225,False,658.0,0.0,658.0,non_benchmark_application,658.0,501-1000
06037601100,Census Tract 6011,37,601100,0.2473266030094558,0.0,0.0,0.0,0.0,6188,534.3000004111196,535.4843152151267,5285.731958544889,924.6263166811646,926.668738168866,9131.88149463412,0.0,0.1010834458882034,0.0,0.1012525531813431,False,649.0,0.0,649.0,non_benchmark_application,649.0,501-1000
06059052430,Census Tract 524.30,59,52430,17.76937017932236,0.0,0.0,0.0,0.0,17078,3821.275870939596,3850.457055694599,18513.54403843121,1636.7273651453727,1648.7593039445233,8412.883690853716,0.0,0.2064043417622918,0.0,0.1945501002141255,False,606.0,0.0,606.0,non_benchmark_application,606.0,501-1000
06061021328,Census Tract 213.28,61,21328,71.58921722845461,0.0,0.0,0.0,0.0,12999,3247.0853272455106,3254.5598913567815,42238.64679154022,584.8904943392567,586.1197046456504,8844.67476951202,0.0,0.0768747479830687,0.0,0.0661291126673645,False,595.0,0.0,595.0,non_benchmark_application,595.0,501-1000
06065043235,Census Tract 432.35,65,43235,5.838276360306209,0.0,0.0,0.0,0.0,13536,542.105531428694,542.7190481615326,7026.774884339738,668.0448137042931,668.7437128413587,8574.505045590002,0.0,0.0771485553972791,0.0,0.0779105977723902,False,553.0,0.0,553.0,non_benchmark_application,553.0,501-1000
06065042726,Census Tract 427.26,65,42726,6.458792257572027,0.0,0.0,0.0,0.0,12017,347.4836861154448,348.5282399453538,5400.989146933121,571.6579929493074,573.2160041225188,8636.564324447947,0.0,0.0643370458007231,0.0,0.066190440026144,False,552.0,0.0,552.0,non_benchmark_application,552.0,501-1000
06009000221,Census Tract 2.21,9,221,65.32454960712903,0.0,0.0,0.0,0.0,6911,112.6610320454858,113.02619575941212,7543.045048641474,129.64184102606882,130.08000774582072,8710.483479554692,0.0,0.0149357495970114,0.0,0.0148834265434708,False,517.0,0.0,517.0,non_benchmark_application,517.0,501-1000
06073010005,Census Tract 100.05,73,10005,0.5812042390483982,0.0,0.0,0.0,0.0,6487,105.46515205157291,106.07127361508763,6796.441091690432,133.57081089240688,134.33845923086866,8607.64081916932,0.0,0.0155177026665497,0.0,0.0155177026665591,False,499.0,0.0,499.0,non_benchmark_application,499.0,251-500
06037601212,Census Tract 6012.12,37,601212,0.2258948407813212,0.0,0.0,0.0,0.0,5295,528.0341785786909,529.126663086095,5055.563098388497,856.5094302205395,858.2815186968578,8200.487098202892,0.0,0.1044461652050206,0.0,0.1044461652050206,False,476.0,0.0,476.0,non_benchmark_application,476.0,251-500
06081601800,Census Tract 6018,81,601800,0.7133084596592734,0.0,0.0,0.0,0.0,6025,490.5667037691568,492.49806874462735,5406.70049358735,736.9266284997464,739.8279144387228,8121.916011490259,0.0,0.0907331013343528,0.0,0.0907331013343649,False,459.0,0.0,459.0,non_benchmark_application,459.0,251-500
06037601002,Census Tract 6010.02,37,601002,0.2444976899452055,0.0,0.0,0.0,0.0,5222,571.5187492898773,572.701201874615,5471.897873589014,844.7010849124609,846.4487423295213,8087.4303355645325,0.0,0.1044461652050202,0.0,0.1044461652050196,False,458.0,0.0,458.0,non_benchmark_application,458.0,251-500
06077005223,Census Tract 52.23,77,5223,9.834880011292626,0.0,0.0,0.0,0.0,11561,856.8576842802919,860.0702440745035,4201.426303873541,1337.3952277620654,1342.3283830933983,7757.086789113044,0.0,0.2039444755916115,0.0,0.1724094707357251,False,457.0,0.0,457.0,non_benchmark_application,457.0,251-500
06099003002,Census Tract 30.02,99,3002,9.247154530726446,0.0,0.0,0.0,0.0,7191,223.60979795248312,223.84584444054803,11396.135007542289,159.89909751985084,160.04541979584363,8178.283119074995,0.0,0.0196215469371406,0.0,0.0195516705880361,False,439.0,0.0,439.0,non_benchmark_application,439.0,251-500
06059021822,Census Tract 218.22,59,21822,4.415883059060593,0.0,0.0,0.0,0.0,9475,1723.5940525405142,1740.9388229981985,14112.86156240665,927.2137327249716,936.5444155128456,7592.065561738755,0.0,0.1221293105525646,0.0,0.1221293105525578,False,407.0,0.0,407.0,non_benchmark_application,407.0,251-500
06037277100,Census Tract 2771,37,277100,0.4764939974659563,0.0,0.0,0.0,0.0,3179,732.143864300953,733.4724582961791,4179.889568393095,1302.627648641118,1304.9914781511145,7436.844021404495,0.0,0.1751586620462837,0.0,0.1751586620469563,False,388.0,0.0,388.0,non_benchmark_application,388.0,251-500
06059032053,Census Tract 320.53,59,32053,3.2446163973333544,0.0,0.0,0.0,0.0,8654,792.5774132170588,797.2338667888353,8532.828632025343,700.7598619416323,704.8768803018323,7544.327802473848,0.0,0.092885659304391,0.0,0.0928856593044442,False,387.0,0.0,387.0,non_benchmark_application,387.0,251-500
06037920028,Census Tract 9200.28,37,920028,0.994007539323878,0.0,0.0,0.0,0.0,8576,210.87129327245873,211.85958406378649,2400.848379851413,702.1519015377017,705.4907988008376,7538.279864077986,0.0,0.0878319909920798,0.0,0.0931448439429334,False,386.0,0.0,386.0,non_benchmark_application,386.0,251-500
06061021038,Census Tract 210.38,61,21038,1.0737414619087418,0.0,0.0,0.0,0.0,7758,155.13800181136148,155.41844848678053,1761.485568307136,665.7251068205348,666.9285540144585,7558.85182503498,0.0,0.0880722525365086,0.0,0.0880722525365092,False,385.0,0.0,385.0,non_benchmark_application,385.0,251-500
06059110604,Census Tract 1106.04,59,110604,1.3701546877803217,0.0,0.0,0.0,0.0,9200,676.6998964122087,687.1118196722676,8603.969564251727,592.4630873237952,601.5559084677448,7550.166505411156,0.0,0.0786497315406368,0.0,0.078470201537831,False,384.0,0.0,384.0,non_benchmark_application,384.0,251-500
06013302014,Census Tract 3020.14,13,302014,1.4830042528573428,0.0,0.0,0.0,0.0,8261,153.63588703346693,154.38655097662618,2995.3159474166723,390.8991423849379,392.8090730480508,7621.047774866021,0.0,0.0512920472265942,0.0,0.0512920472266439,False,381.0,0.0,381.0,non_benchmark_application,381.0,251-500
06077003219,Census Tract 32.19,77,3219,1.647961080369433,0.0,0.0,0.0,0.0,11405,207.2597027173747,207.7912077789578,6014.500196373272,262.58548502836504,263.26145545801324,7599.441197284391,0.0,0.0344600043146314,0.0,0.0345532623006805,False,380.0,0.0,380.0,non_benchmark_application,380.0,251-500
06083002409,Census Tract 24.09,83,2409,2.8038053854146,0.0,0.0,0.0,0.0,10076,32.63760726727825,32.63760726727825,2094.5259967990005,177.1855507429064,177.1855507429064,7651.932632810912,0.0,0.0155823357251985,0.0,0.0231556600463454,False,379.0,0.0,379.0,non_benchmark_application,379.0,251-500
06095252205,Census Tract 2522.05,95,252205,13.82420868482575,0.0,0.0,0.0,0.0,8310,516.568439252997,518.6244842794177,6985.872708765663,557.2109042242887,559.441403237818,7475.740863234367,0.0,0.0739447254177452,0.0,0.0745358773689772,False,371.0,0.0,371.0,non_benchmark_application,371.0,251-500
06065042731,Census Tract 427.31,65,42731,7.968873896044507,0.0,0.0,0.0,0.0,9624,214.8010776620956,216.0115142235508,5476.902509901483,246.84896663199297,248.4122609027713,7547.557423911655,0.0,0.0392194451651759,0.0,0.0327058083519766,False,369.0,0.0,369.0,non_benchmark_application,369.0,251-500
06099000514,Census Tract 5.14,99,514,0.4133608292619701,0.0,0.0,0.0,0.0,4575,34.78621467706183,34.78621467706183,1520.2913745209776,174.7194541546579,174.7194541546579,7635.912144459234,0.0,0.0228812813517556,0.0,0.0228812813517554,False,364.0,0.0,364.0,non_benchmark_application,364.0,251-500
06013346204,Census Tract 3462.04,13,346204,5.031465071672744,0.0,0.0,0.0,0.0,7702,1111.143939342979,1115.5297482337974,7839.576604342185,1072.083655056018,1076.5767838506672,7164.695139398396,0.0,0.1417351976288538,0.0,0.149634232049968,False,357.0,0.0,357.0,non_benchmark_application,357.0,251-500
06065040302,Census Tract 403.02,65,40302,2.215599730605492,0.0,0.0,0.0,0.0,9812,116.7252862183695,118.2054981812836,4385.938532398444,197.65768437958835,200.1642129858513,7426.963618862021,0.0,0.0266135253278477,0.0,0.0266135253278477,False,353.0,0.0,353.0,non_benchmark_application,353.0,251-500
06067009312,Census Tract 93.12,67,9312,0.8172795009221264,0.0,0.0,0.0,0.0,7657,77.09029842788956,77.25123850811494,1075.079735906027,526.1352273410745,527.2336307384469,7337.334694451944,0.0,0.0717065868262519,0.0,0.0717065868262635,False,353.0,0.0,353.0,non_benchmark_application,353.0,251-500
06059032059,Census Tract 320.59,59,32059,1.001207335400773,0.0,0.0,0.0,0.0,8955,122.6987922242658,123.24733386802396,697.919506837924,1235.5736808096715,1241.097481049016,7028.031477249242,0.0,0.1758065092351113,0.0,0.1758065092351113,False,352.0,0.0,352.0,non_benchmark_application,352.0,251-500
06073020110,Census Tract 201.10,73,20110,18.338936663208017,0.0,0.0,0.0,0.0,9085,541.2830017020567,543.4361397331919,11528.324962355506,345.14521701729285,346.22285013466296,7357.826866599895,0.0,0.0469524413537576,0.0,0.0469085809268011,False,350.0,0.0,350.0,non_benchmark_application,350.0,251-500
06071000121,Census Tract 1.21,71,121,9.243204491394364,0.0,0.0,0.0,0.0,8244,1567.7400599683551,1577.0117517410692,13004.680918003176,857.311141702085,862.3813219329425,7111.5474624724975,0.0,0.1205519820019602,0.0,0.1205519820019622,False,343.0,0.0,343.0,non_benchmark_application,343.0,251-500
06047002002,Census Tract 20.02,47,2002,74.9983225863011,0.0,0.0,0.0,0.0,7262,54.82233002622808,54.82233002622808,3716.6117980393706,105.2563384434008,105.2563384434008,7396.35590821106,0.0,0.0147506204589751,0.0,0.0142308374217836,False,340.0,0.0,340.0,non_benchmark_application,340.0,251-500
06081605000,Census Tract 6050,81,605000,1.5823584892550366,0.0,0.0,0.0,0.0,8273,531.7401721291726,532.6305277662264,3445.082744973012,1078.4814846933898,1080.2873141561324,6987.3561345052,0.0,0.1543475763840726,0.0,0.1543475763840912,False,339.0,0.0,339.0,non_benchmark_application,339.0,251-500
06013359203,Census Tract 3592.03,13,359203,1.4339394955975773,0.0,0.0,0.0,0.0,7058,474.18632901192456,475.70291641814606,5218.577264808206,651.9585087474412,654.0436638926889,7175.018854797266,0.0,0.090865058606994,0.0,0.090865058606994,False,339.0,0.0,339.0,non_benchmark_application,339.0,251-500
06065043517,Census Tract 435.17,65,43517,15.60406708284525,0.0,0.0,0.0,0.0,9093,391.6946888556137,393.4355967809376,11460.17025014895,255.45048658398895,256.61268099674874,7274.5255166667885,0.0,0.0341787844600757,0.0,0.0351157592338802,False,337.0,0.0,337.0,non_benchmark_application,337.0,251-500
06081602500,Census Tract 6025,81,602500,0.4597904773767394,0.0,0.0,0.0,0.0,5331,316.2136882794576,317.45862406008234,3485.0973198317556,652.0424658078468,654.6095621299198,7186.379129779311,0.0,0.0907331013340892,0.0,0.0907331013341444,False,336.0,0.0,336.0,non_benchmark_application,336.0,251-500
06059062639,Census Tract 626.39,59,62639,0.6742458740384467,0.0,0.0,0.0,0.0,8624,379.0063906584341,382.8841250824304,3292.1965259729723,802.8313175964579,811.0453390843221,6973.704243196635,0.0,0.1151226506887898,0.0,0.1151226506887898,False,327.0,0.0,327.0,non_benchmark_application,327.0,251-500
06081602201,Census Tract 6022.01,81,602201,0.1920626714124374,0.0,0.0,0.0,0.0,5250,132.088089459337,132.60812130760212,1455.7872211658855,642.1352364525403,644.663327934637,7077.188225784145,0.0,0.090733101334378,0.0,0.090733101334378,False,324.0,0.0,324.0,non_benchmark_application,324.0,251-500
06071000120,Census Tract 1.20,71,120,1.455236491334906,0.0,0.0,0.0,0.0,8007,246.8226843103169,248.2824057972356,2047.43779580741,832.6650062603462,837.5894280347865,6907.103412424831,0.0,0.1205519820019645,0.0,0.1205519820019645,False,320.0,0.0,320.0,non_benchmark_application,320.0,251-500
06065043809,Census Tract 438.09,65,43809,8.62768656659844,0.0,0.0,0.0,0.0,7623,496.4113749423065,497.56180686569553,9392.317961201625,373.4181205443409,374.2835159569586,7065.232381179212,0.0,0.0528529141573905,0.0,0.0528529141573707,False,317.0,0.0,317.0,non_benchmark_application,317.0,251-500
06059052421,Census Tract 524.21,59,52421,0.9665105458415296,0.0,0.0,0.0,0.0,9399,1347.2124590261385,1362.5848760142978,6942.281633663341,1286.9727817464843,1301.6578316960072,6631.862291565914,0.0,0.1940590327671904,0.0,0.1940590327671904,False,313.0,0.0,313.0,non_benchmark_application,313.0,251-500
06065042739,Census Tract 427.39,65,42739,3.904359025582717,0.0,0.0,0.0,0.0,9265,436.6648028061117,437.1986228584419,6274.921260128135,483.6581160982557,484.24938518884034,6950.2203425497655,0.0,0.0695888895978266,0.0,0.0695888895978253,False,313.0,0.0,313.0,non_benchmark_application,313.0,251-500
06111005205,Census Tract 52.05,111,5205,4.45391968700414,0.0,0.0,0.0,0.0,8350,436.7047167760118,437.7174828167726,7378.000606941666,413.3098361854969,414.26834693731854,6982.750827020745,0.0,0.0591901166781056,0.0,0.0591901166781056,False,312.0,0.0,312.0,non_benchmark_application,312.0,251-500
06073020044,Census Tract 200.44,73,20044,3.326937820783072,0.0,0.0,0.0,0.0,9056,776.9968562185373,778.9744506604272,7551.246616912356,699.5130998849461,701.2934844608812,6798.220464751029,0.0,0.102896501152315,0.0,0.102896501152315,False,306.0,0.0,306.0,non_benchmark_application,306.0,251-500
