GEOID,NAMELSAD,COUNTYFP,county_name,current_total_evse,predicted_target_evse_count,baseline_target_evse_count,planning_gap_evse_non_benchmark_only,baseline_gap_evse,target_difference_final_minus_baseline,gap_difference_final_minus_baseline
06037273800,Census Tract 2738,37,Los Angeles,2.0,56.0,15.0,54.0,13.0,41.0,41.0
06085512019,Census Tract 5120.19,85,Santa Clara,12.0,91.0,16.0,79.0,4.0,75.0,75.0
06085512021,Census Tract 5120.21,85,Santa Clara,0.0,131.0,13.0,131.0,13.0,118.0,118.0
06067006004,Census Tract 60.04,67,Sacramento,0.0,48.0,24.0,48.0,24.0,24.0,24.0
06067007906,Census Tract 79.06,67,Sacramento,0.0,67.0,20.0,67.0,20.0,47.0,47.0
06067009314,Census Tract 93.14,67,Sacramento,4.0,150.0,12.0,146.0,8.0,138.0,138.0
06067008207,Census Tract 82.07,67,Sacramento,0.0,102.0,14.0,102.0,14.0,88.0,88.0
06067009501,Census Tract 95.01,67,Sacramento,0.0,62.0,3.0,62.0,3.0,59.0,59.0
06067009403,Census Tract 94.03,67,Sacramento,0.0,63.0,3.0,63.0,3.0,60.0,60.0
06037274100,Census Tract 2741,37,Los Angeles,8.0,92.0,16.0,84.0,8.0,76.0,76.0
06037552400,Census Tract 5524,37,Los Angeles,0.0,52.0,13.0,52.0,13.0,39.0,39.0
06037552602,Census Tract 5526.02,37,Los Angeles,0.0,74.0,11.0,74.0,11.0,63.0,63.0
06083002211,Census Tract 22.11,83,Santa Barbara,10.0,109.0,8.0,99.0,0.0,101.0,99.0
06067009007,Census Tract 90.07,67,Sacramento,0.0,60.0,27.0,60.0,27.0,33.0,33.0
06067009008,Census Tract 90.08,67,Sacramento,0.0,118.0,22.0,118.0,22.0,96.0,96.0
06067009106,Census Tract 91.06,67,Sacramento,4.0,70.0,20.0,66.0,16.0,50.0,50.0
06067009103,Census Tract 91.03,67,Sacramento,10.0,72.0,20.0,62.0,10.0,52.0,52.0
06085512022,Census Tract 5120.22,85,Santa Clara,0.0,152.0,16.0,152.0,16.0,136.0,136.0
06067009323,Census Tract 93.23,67,Sacramento,2.0,139.0,14.0,137.0,12.0,125.0,125.0
06067009107,Census Tract 91.07,67,Sacramento,18.0,86.0,18.0,68.0,0.0,68.0,68.0
06067009601,Census Tract 96.01,67,Sacramento,31.0,94.0,11.0,63.0,0.0,83.0,63.0
06067009608,Census Tract 96.08,67,Sacramento,4.0,326.0,14.0,322.0,10.0,312.0,312.0
